jogador,utilidade,conteudo_interesse,conteudo_publicado,qualidade_publicacao,frequencia_publicacao,minimo_para_seguir,seguidores,seguindo
perfil5,2.592865180023123,"['fotos_em_grupo', 'meme', 'atividades']","['comida', 'meme', 'atividades', 'selfies', 'fotos_em_grupo']",0.8644254579454289,0.7247956909052911,0.9542906689340707,"[<populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04270>]","[<populacao.Jogador object at 0x039F7E70>, <populacao.Jogador object at 0x03A04250>, <populacao.Jogador object at 0x039F7E70>]"
perfil5,2.3637446048172497,"['atividades', 'fotos_em_grupo', 'meme']","['comida', 'meme', 'atividades', 'selfies', 'fotos_em_grupo']",0.7409012477626562,0.7417241906419064,0.7044564166938597,"[<populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04270>]","[<populacao.Jogador object at 0x039F7E70>, <populacao.Jogador object at 0x03A04250>, <populacao.Jogador object at 0x039F7E70>]"
perfil4,1.491405641987155,"['meme', 'selfies']","['meme', 'atividades']",0.7135879906832291,0.47385459145251285,0.09106894176520956,"[<populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04270>]","[<populacao.Jogador object at 0x039F7E70>, <populacao.Jogador object at 0x03A04250>, <populacao.Jogador object at 0x039F7E70>]"
perfil3,1.820881311128979,"['comida', 'meme', 'atividades', 'selfies', 'fotos_em_grupo']","['comida', 'meme', 'atividades', 'selfies', 'fotos_em_grupo']",0.45503178495138635,0.022185661468571538,0.5551716722613881,"[<populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04270>]","[<populacao.Jogador object at 0x039F7E70>, <populacao.Jogador object at 0x03A04250>, <populacao.Jogador object at 0x039F7E70>]"
perfil2,0.8311054648436672,"['atividades', 'fotos_em_grupo']","['meme', 'atividades', 'comida']",0.8560939757219147,0.08740484216452837,0.8844094891975147,"[<populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04270>]","[<populacao.Jogador object at 0x039F7E70>, <populacao.Jogador object at 0x03A04250>, <populacao.Jogador object at 0x039F7E70>]"
perfil1,2.1085696335985125,"['comida', 'meme', 'atividades', 'selfies', 'fotos_em_grupo']","['atividades', 'selfies', 'comida', 'fotos_em_grupo']",0.18871521760109466,0.9639543273686579,0.65611928586673,"[<populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04150>, <populacao.Jogador object at 0x03A04270>]","[<populacao.Jogador object at 0x039F7E70>, <populacao.Jogador object at 0x03A04250>, <populacao.Jogador object at 0x039F7E70>]"
